title	torrent_size	link
Oppenheimer.2023.1080p.BluRay.DD5.1.x264-GalaxyRG	2.0 GB	https://1337x.to/torrent/5876708/Oppenheimer-2023-1080p-BluRay-DD5-1-x264-GalaxyRG/
Oppenheimer.2023.720p.BluRay.999MB.x264-GalaxyRG	974.5 MB	https://1337x.to/torrent/5876703/Oppenheimer-2023-720p-BluRay-999MB-x264-GalaxyRG/
Butchers.Crossing.2023.720p.WEBRip.800MB.x264-GalaxyRG	796.7 MB	https://1337x.to/torrent/5875443/Butchers-Crossing-2023-720p-WEBRip-800MB-x264-GalaxyRG/
Oppenheimer.2023.1080p.Bluray.REMUX.AVC.DTS-HD.MA.5.1-GHD[TGx]	39.4 GB	https://1337x.to/torrent/5876686/Oppenheimer-2023-1080p-Bluray-REMUX-AVC-DTS-HD-MA-5-1-GHD-TGx/
Oppenheimer.2023.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR	39.7 GB	https://1337x.to/torrent/5876653/Oppenheimer-2023-BluRay-1080p-DTS-HD-MA-5-1-AVC-REMUX-FraMeSToR/
Butchers.Crossing.2023.1080p.WEBRip.1400MB.DD5.1.x264-GalaxyRG	1.4 GB	https://1337x.to/torrent/5875457/Butchers-Crossing-2023-1080p-WEBRip-1400MB-DD5-1-x264-GalaxyRG/
Culprits.S01.COMPLETE.720p.WEBRip.x264-GalaxyTV	2.7 GB	https://1337x.to/torrent/5876430/Culprits-S01-COMPLETE-720p-WEBRip-x264-GalaxyTV/
Foe.2023.1080p.WEBRip.1400MB.DD5.1.x264-GalaxyRG	1.4 GB	https://1337x.to/torrent/5875436/Foe-2023-1080p-WEBRip-1400MB-DD5-1-x264-GalaxyRG/
Foe.2023.720p.WEBRip.800MB.x264-GalaxyRG	797.4 MB	https://1337x.to/torrent/5875417/Foe-2023-720p-WEBRip-800MB-x264-GalaxyRG/
Welcome.to.Wrexham.S02E13.1080p.WEB.H264-SuccessfulCrab[TGx]	789.5 MB	https://1337x.to/torrent/5875758/Welcome-to-Wrexham-S02E13-1080p-WEB-H264-SuccessfulCrab-TGx/
Shingeki no Kyojin (Attack on Titan) - S04E30 [1080p][HEVC x265 10bit][Multi-Sub...	1.7 GB	https://1337x.to/torrent/5875551/Shingeki-no-Kyojin-Attack-on-Titan-S04E30-1080p-HEVC-x265-10bit-Multi-Subs-Judas/
Welcome.to.Wrexham.S02E14.1080p.WEB.H264-SuccessfulCrab[TGx]	870.6 MB	https://1337x.to/torrent/5875779/Welcome-to-Wrexham-S02E14-1080p-WEB-H264-SuccessfulCrab-TGx/
The.Blind.2023.1080p.AMZN.WEBRip.1400MB.DD5.1.x264-GalaxyRG	1.4 GB	https://1337x.to/torrent/5875659/The-Blind-2023-1080p-AMZN-WEBRip-1400MB-DD5-1-x264-GalaxyRG/
Swamp.Woman.2023.1080p.WEBRip.700MB.DD5.1.x264-GalaxyRG	718.7 MB	https://1337x.to/torrent/5875628/Swamp-Woman-2023-1080p-WEBRip-700MB-DD5-1-x264-GalaxyRG/
The.Curse.of.Oak.Island.S11E01.1080p.WEB.h264-EDITH[TGx]	3.1 GB	https://1337x.to/torrent/5875846/The-Curse-of-Oak-Island-S11E01-1080p-WEB-h264-EDITH-TGx/
Butchers.Crossing.2023.1080p.WEBRip.DDP5.1.x265.10bit-GalaxyRG265	2.7 GB	https://1337x.to/torrent/5875742/Butchers-Crossing-2023-1080p-WEBRip-DDP5-1-x265-10bit-GalaxyRG265/
Butchers.Crossing.2023.1080p.WEB.H264-WhySoMemeToMe[TGx]	7.5 GB	https://1337x.to/torrent/5875420/Butchers-Crossing-2023-1080p-WEB-H264-WhySoMemeToMe-TGx/
